
---------- Begin Simulation Statistics ----------
simSeconds                                   0.021841                       # Number of seconds simulated (Second)
simTicks                                  21841304000                       # Number of ticks simulated (Tick)
finalTick                                 22837428000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     95.27                       # Real time elapsed on the host (Second)
hostTickRate                                229259425                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680136                       # Number of bytes of host memory used (Byte)
simInsts                                     14384596                       # Number of instructions simulated (Count)
simOps                                       16739379                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   150989                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     175706                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         43682608                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14958578                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       21165684                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  24469                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               145867                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            377238                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            43676456                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.484602                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.304334                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  36642085     83.89%     83.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1723729      3.95%     87.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1511249      3.46%     91.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1035066      2.37%     93.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1454722      3.33%     97.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    759437      1.74%     98.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    276996      0.63%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    149166      0.34%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    124006      0.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              43676456                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      38      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     74      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     15      0.00%      0.01% # attempts to use FU when none available (Count)
