
---------- Begin Simulation Statistics ----------
simSeconds                                   0.027235                       # Number of seconds simulated (Second)
simTicks                                  27234735000                       # Number of ticks simulated (Tick)
finalTick                                 28225514000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    360.08                       # Real time elapsed on the host (Second)
hostTickRate                                 75635898                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680116                       # Number of bytes of host memory used (Byte)
simInsts                                     78009623                       # Number of instructions simulated (Count)
simOps                                      113842990                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   216647                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     316163                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         54469470                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       112220575                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        5                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      117351604                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  20861                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               303925                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            277805                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   4                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            54464162                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.154657                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.959176                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  32840442     60.30%     60.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    830091      1.52%     61.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1603966      2.94%     64.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1038633      1.91%     66.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4523092      8.30%     74.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2710785      4.98%     79.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3068447      5.63%     85.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2648941      4.86%     90.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   5199765      9.55%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              54464162                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  487369      5.95%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                 587054      7.17%     13.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     13.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                1000952     12.22%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                287111      3.50%     28.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                113181      1.38%     30.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc            2081640     25.41%     55.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     55.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     55.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     55.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     55.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     55.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     55.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     55.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     55.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     55.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     55.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     55.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     55.62% # attempts to use FU when none available (Count)
