
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010339                       # Number of seconds simulated (Second)
simTicks                                  10339298000                       # Number of ticks simulated (Tick)
finalTick                                 11329529000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     86.61                       # Real time elapsed on the host (Second)
hostTickRate                                119371005                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681140                       # Number of bytes of host memory used (Byte)
simInsts                                     28796931                       # Number of instructions simulated (Count)
simOps                                       29326695                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   332471                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     338587                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         20678596                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        27473738                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      245                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       27447033                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    298                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                73800                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            111665                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 100                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            20659165                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.328564                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.478622                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  14851110     71.89%     71.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    777998      3.77%     75.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    652883      3.16%     78.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    476208      2.31%     81.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    782477      3.79%     84.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    756100      3.66%     88.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    609385      2.95%     91.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    656105      3.18%     94.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1096899      5.31%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              20659165                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     116      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
