
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000472                       # Number of seconds simulated (Second)
simTicks                                    472327000                       # Number of ticks simulated (Tick)
finalTick                                  1468172000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      3.46                       # Real time elapsed on the host (Second)
hostTickRate                                136462013                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681160                       # Number of bytes of host memory used (Byte)
simInsts                                      2787170                       # Number of instructions simulated (Count)
simOps                                        3092134                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   805223                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     893325                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           944654                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1182868                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      236                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1172803                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     66                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                17817                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             29226                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  91                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              925500                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.267210                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.417442                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    659951     71.31%     71.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     69563      7.52%     78.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     16704      1.80%     80.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      6659      0.72%     81.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     26037      2.81%     84.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     37878      4.09%     88.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     38934      4.21%     92.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     35479      3.83%     96.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     34295      3.71%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                925500                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     136      0.06%      0.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.06% # attempts to use FU when none available (Count)
