
---------- Begin Simulation Statistics ----------
simSeconds                                   0.014470                       # Number of seconds simulated (Second)
simTicks                                  14469627000                       # Number of ticks simulated (Tick)
finalTick                                 15459629000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     75.03                       # Real time elapsed on the host (Second)
hostTickRate                                192861003                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680116                       # Number of bytes of host memory used (Byte)
simInsts                                     11165646                       # Number of instructions simulated (Count)
simOps                                       13447236                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   148823                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     179234                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         28939254                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11700535                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        4                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       20774054                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  54700                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               179604                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            549080                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            28936461                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.717920                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.624973                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  22887537     79.10%     79.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1426648      4.93%     84.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    634371      2.19%     86.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    380005      1.31%     87.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2278897      7.88%     95.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    625543      2.16%     97.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    400168      1.38%     98.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    131998      0.46%     99.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    171294      0.59%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              28936461                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     456      0.03%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.03% # attempts to use FU when none available (Count)
