
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003535                       # Number of seconds simulated (Second)
simTicks                                   3535481500                       # Number of ticks simulated (Tick)
finalTick                                  4531515500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     49.04                       # Real time elapsed on the host (Second)
hostTickRate                                 72096643                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     679876                       # Number of bytes of host memory used (Byte)
simInsts                                     11908043                       # Number of instructions simulated (Count)
simOps                                       17446184                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   242832                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     355767                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          7070963                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        15569260                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        3                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       15560366                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    151                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                49825                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             53822                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7064866                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.202500                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.009438                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4192551     59.34%     59.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    173002      2.45%     61.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    227538      3.22%     65.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    179142      2.54%     67.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    422060      5.97%     73.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    330451      4.68%     78.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    488915      6.92%     85.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    288779      4.09%     89.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    762428     10.79%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7064866                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   18853      1.97%      1.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      1.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.97% # attempts to use FU when none available (Count)
