
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007682                       # Number of seconds simulated (Second)
simTicks                                   7682449000                       # Number of ticks simulated (Tick)
finalTick                                  8671864000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    118.18                       # Real time elapsed on the host (Second)
hostTickRate                                 65003916                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680124                       # Number of bytes of host memory used (Byte)
simInsts                                     34174398                       # Number of instructions simulated (Count)
simOps                                       42600093                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   289161                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     360454                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         15364898                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        40806953                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        5                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       41197823                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1072                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               133232                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             97973                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   4                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            15353784                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.683236                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.010523                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7313543     47.63%     47.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    589535      3.84%     51.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    716274      4.67%     56.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    724133      4.72%     60.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1101438      7.17%     68.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    869840      5.67%     73.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1408583      9.17%     82.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1246613      8.12%     90.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1383825      9.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              15353784                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    6340      0.28%      0.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.28% # attempts to use FU when none available (Count)
