
---------- Begin Simulation Statistics ----------
simSeconds                                   0.016484                       # Number of seconds simulated (Second)
simTicks                                  16483980000                       # Number of ticks simulated (Tick)
finalTick                                 17473974000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    238.16                       # Real time elapsed on the host (Second)
hostTickRate                                 69214989                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680124                       # Number of bytes of host memory used (Byte)
simInsts                                     48508448                       # Number of instructions simulated (Count)
simOps                                       67225557                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   203683                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     282275                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         32967960                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        65384125                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       65600538                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  10235                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                84906                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             71404                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            32956313                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.990530                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.842104                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  20038205     60.80%     60.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    934596      2.84%     63.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1363026      4.14%     67.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    978706      2.97%     70.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1990750      6.04%     76.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1313820      3.99%     80.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2351161      7.13%     87.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1523686      4.62%     92.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2462363      7.47%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              32956313                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  172608      3.70%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.70% # attempts to use FU when none available (Count)
