
---------- Begin Simulation Statistics ----------
simSeconds                                   0.034098                       # Number of seconds simulated (Second)
simTicks                                  34098165000                       # Number of ticks simulated (Tick)
finalTick                                 35088404000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    224.08                       # Real time elapsed on the host (Second)
hostTickRate                                152171011                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680116                       # Number of bytes of host memory used (Byte)
simInsts                                     46717521                       # Number of instructions simulated (Count)
simOps                                       61448392                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   208488                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     274228                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         68196330                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        59632755                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       62023976                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     50                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               110859                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             79152                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            68194291                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.909519                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.919156                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  53377399     78.27%     78.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1045899      1.53%     79.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2140050      3.14%     82.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1366520      2.00%     84.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4391793      6.44%     91.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2627230      3.85%     95.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1522087      2.23%     97.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1023931      1.50%     98.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    699382      1.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              68194291                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     457      0.05%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.05% # attempts to use FU when none available (Count)
