
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000213                       # Number of seconds simulated (Second)
simTicks                                    212823500                       # Number of ticks simulated (Tick)
finalTick                                  1208813500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      2.24                       # Real time elapsed on the host (Second)
hostTickRate                                 95201953                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680132                       # Number of bytes of host memory used (Byte)
simInsts                                      2101889                       # Number of instructions simulated (Count)
simOps                                        2464904                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   940179                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                    1102549                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           425647                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          550861                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         646988                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1277                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                12558                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             37418                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples              422930                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.529776                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.998278                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    214225     50.65%     50.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     59933     14.17%     64.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     28438      6.72%     71.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     19956      4.72%     76.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     64915     15.35%     91.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     16001      3.78%     95.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      8389      1.98%     97.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      8272      1.96%     99.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2801      0.66%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                422930                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      12      0.14%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.14% # attempts to use FU when none available (Count)
