
---------- Begin Simulation Statistics ----------
simSeconds                                   0.105196                       # Number of seconds simulated (Second)
simTicks                                 105196066500                       # Number of ticks simulated (Tick)
finalTick                                106186060500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    395.26                       # Real time elapsed on the host (Second)
hostTickRate                                266145027                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680120                       # Number of bytes of host memory used (Byte)
simInsts                                     44086746                       # Number of instructions simulated (Count)
simOps                                       53367520                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   111539                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     135019                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        210392133                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        51733606                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        4                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       91291444                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  54498                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               292577                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            728415                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           210389423                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.433917                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.238218                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 182697849     86.84%     86.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3758172      1.79%     88.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6139265      2.92%     91.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3757216      1.79%     93.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8199244      3.90%     97.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4241985      2.02%     99.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1263376      0.60%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    262591      0.12%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     69725      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             210389423                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
