
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000013                       # Number of seconds simulated (Second)
simTicks                                     13411000                       # Number of ticks simulated (Tick)
finalTick                                  1008927000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.14                       # Real time elapsed on the host (Second)
hostTickRate                                 96205716                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680132                       # Number of bytes of host memory used (Byte)
simInsts                                      1701613                       # Number of instructions simulated (Count)
simOps                                        1972679                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                 12195960                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                   14137561                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                            26822                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           50199                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          49835                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     23                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 4184                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              3171                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples               22443                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.220514                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.139149                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                      8635     38.48%     38.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      1118      4.98%     43.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      1941      8.65%     52.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      3972     17.70%     69.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      3952     17.61%     87.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       650      2.90%     90.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      1563      6.96%     97.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       413      1.84%     99.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       199      0.89%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 22443                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     324     38.34%     38.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     38.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     38.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     38.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     38.34% # attempts to use FU when none available (Count)
