
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010319                       # Number of seconds simulated (Second)
simTicks                                  10319166000                       # Number of ticks simulated (Tick)
finalTick                                 11315283000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     38.46                       # Real time elapsed on the host (Second)
hostTickRate                                268312309                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680132                       # Number of bytes of host memory used (Byte)
simInsts                                      6244201                       # Number of instructions simulated (Count)
simOps                                        7497818                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   162357                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     194953                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         20638332                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5625314                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        8655811                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  11412                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                54158                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            164177                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            20635106                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.419470                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.231517                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  18026964     87.36%     87.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    523383      2.54%     89.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    300967      1.46%     91.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    180775      0.88%     92.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1294296      6.27%     98.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    141411      0.69%     99.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     69477      0.34%     99.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     95596      0.46%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2237      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              20635106                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      37      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.01% # attempts to use FU when none available (Count)
