
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002629                       # Number of seconds simulated (Second)
simTicks                                   2628770500                       # Number of ticks simulated (Tick)
finalTick                                  3617560500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     19.98                       # Real time elapsed on the host (Second)
hostTickRate                                131543561                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680124                       # Number of bytes of host memory used (Byte)
simInsts                                      4961720                       # Number of instructions simulated (Count)
simOps                                        5473219                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   248283                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     273878                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          5257541                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3615304                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        4                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5777991                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  10644                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                68429                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            121541                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5248608                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.100862                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.741861                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3132632     59.69%     59.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    797799     15.20%     74.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    338403      6.45%     81.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    203896      3.88%     85.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    390657      7.44%     92.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    254296      4.85%     97.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     79512      1.51%     99.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     30786      0.59%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     20627      0.39%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5248608                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     605      0.14%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.14% # attempts to use FU when none available (Count)
