
---------- Begin Simulation Statistics ----------
simSeconds                                   0.117365                       # Number of seconds simulated (Second)
simTicks                                 117365447000                       # Number of ticks simulated (Tick)
finalTick                                118354186000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    474.55                       # Real time elapsed on the host (Second)
hostTickRate                                247320722                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680124                       # Number of bytes of host memory used (Byte)
simInsts                                     54906368                       # Number of instructions simulated (Count)
simOps                                       59212607                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   115703                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     124777                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        234730894                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        57584869                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      108454728                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  55563                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               298763                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            538516                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples           234721749                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.462057                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.227898                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 194795034     82.99%     82.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  15290438      6.51%     89.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5403686      2.30%     91.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3094103      1.32%     93.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9274534      3.95%     97.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5657771      2.41%     99.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    826600      0.35%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    308646      0.13%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     70937      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             234721749                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1818      0.02%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      3      0.00%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.02% # attempts to use FU when none available (Count)
