
---------- Begin Simulation Statistics ----------
simSeconds                                   0.030465                       # Number of seconds simulated (Second)
simTicks                                  30465006000                       # Number of ticks simulated (Tick)
finalTick                                 30465006000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    400.32                       # Real time elapsed on the host (Second)
hostTickRate                                 76102464                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681148                       # Number of bytes of host memory used (Byte)
simInsts                                    126982733                       # Number of instructions simulated (Count)
simOps                                      133930673                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   317206                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     334563                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         60930013                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       134851427                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      410                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      134543662                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4315                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               921163                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            807436                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 137                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            60785127                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.213431                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.787588                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  31527022     51.87%     51.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3534434      5.81%     57.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3074873      5.06%     62.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3640045      5.99%     68.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3798531      6.25%     74.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3778585      6.22%     81.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4347224      7.15%     88.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2906350      4.78%     93.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4178063      6.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              60785127                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   20722      0.58%      0.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  43948      1.24%      1.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1192      0.03%      1.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      1.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      1.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      1.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                 266313      7.50%      9.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      9.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                2129017     59.94%     69.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                     17      0.00%     69.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     69.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                166231      4.68%     73.98% # attempts to use FU when none available (Count)
