
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005013                       # Number of seconds simulated (Second)
simTicks                                   5012734000                       # Number of ticks simulated (Tick)
finalTick                                  5012734000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     44.91                       # Real time elapsed on the host (Second)
hostTickRate                                111624681                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681140                       # Number of bytes of host memory used (Byte)
simInsts                                     15181889                       # Number of instructions simulated (Count)
simOps                                       16006099                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   338073                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     356426                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         10025469                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        16573460                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      392                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       16389732                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2047                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               567752                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            442096                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 132                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9885593                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.657941                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.639746                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6386401     64.60%     64.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    624929      6.32%     70.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    257885      2.61%     73.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    123561      1.25%     74.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    465837      4.71%     79.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    454899      4.60%     84.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    696549      7.05%     91.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    443043      4.48%     95.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    432489      4.37%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               9885593                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   19997      0.77%      0.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    883      0.03%      0.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1192      0.05%      0.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.85% # attempts to use FU when none available (Count)
