
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000263                       # Number of seconds simulated (Second)
simTicks                                    263293500                       # Number of ticks simulated (Tick)
finalTick                                  1258516500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      4.97                       # Real time elapsed on the host (Second)
hostTickRate                                 52955527                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680132                       # Number of bytes of host memory used (Byte)
simInsts                                      3624810                       # Number of instructions simulated (Count)
simOps                                        3938195                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   729030                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     792057                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           526587                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         2025926                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        2023852                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    296                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                14388                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              8939                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples              520201                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.890519                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.756456                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    117627     22.61%     22.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     26850      5.16%     27.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     27665      5.32%     33.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     16763      3.22%     36.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    107742     20.71%     57.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     46110      8.86%     65.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     75116     14.44%     80.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     39455      7.58%     87.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     62873     12.09%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                520201                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4606      1.34%      1.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      1.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.34% # attempts to use FU when none available (Count)
