
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000286                       # Number of seconds simulated (Second)
simTicks                                    286339500                       # Number of ticks simulated (Tick)
finalTick                                  1281890500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      5.51                       # Real time elapsed on the host (Second)
hostTickRate                                 51979964                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680132                       # Number of bytes of host memory used (Byte)
simInsts                                      3722909                       # Number of instructions simulated (Count)
simOps                                        4089336                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   675813                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     742328                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           572679                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         2176593                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        2174490                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    634                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                13889                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              9447                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              566207                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.840451                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.760725                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    120758     21.33%     21.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     38962      6.88%     28.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     39163      6.92%     35.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     36659      6.47%     41.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     78451     13.86%     55.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     64421     11.38%     66.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     60900     10.76%     77.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     69228     12.23%     89.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     57665     10.18%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                566207                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    5289      5.46%      5.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      5.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.46% # attempts to use FU when none available (Count)
