
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000422                       # Number of seconds simulated (Second)
simTicks                                    421657000                       # Number of ticks simulated (Tick)
finalTick                                  1420051000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      6.72                       # Real time elapsed on the host (Second)
hostTickRate                                 62766361                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681156                       # Number of bytes of host memory used (Byte)
simInsts                                      3952453                       # Number of instructions simulated (Count)
simOps                                        4540558                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   588336                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     675876                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           843314                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         2630218                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      230                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        2625863                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     68                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                16823                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             17807                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  85                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              822857                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.191154                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.985573                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    279041     33.91%     33.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     66669      8.10%     42.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     55002      6.68%     48.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     52249      6.35%     55.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     61267      7.45%     62.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     63500      7.72%     70.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     84294     10.24%     80.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     62569      7.60%     88.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     98266     11.94%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                822857                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     101      0.05%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.05% # attempts to use FU when none available (Count)
