
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000691                       # Number of seconds simulated (Second)
simTicks                                    691417500                       # Number of ticks simulated (Tick)
finalTick                                  1689124500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     13.71                       # Real time elapsed on the host (Second)
hostTickRate                                 50439153                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680136                       # Number of bytes of host memory used (Byte)
simInsts                                      5714901                       # Number of instructions simulated (Count)
simOps                                        7048893                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   416900                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     514214                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1382835                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5139051                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5139726                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     72                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                16943                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             13901                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples             1371038                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.748784                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.919005                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    376181     27.44%     27.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     76660      5.59%     33.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     61680      4.50%     37.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     74263      5.42%     42.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    142491     10.39%     53.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    164961     12.03%     65.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    155417     11.34%     76.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    165434     12.07%     88.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    153951     11.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1371038                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      36      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.01% # attempts to use FU when none available (Count)
