
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004248                       # Number of seconds simulated (Second)
simTicks                                   4247789000                       # Number of ticks simulated (Tick)
finalTick                                  5246207000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     38.83                       # Real time elapsed on the host (Second)
hostTickRate                                109381245                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681156                       # Number of bytes of host memory used (Byte)
simInsts                                     11238541                       # Number of instructions simulated (Count)
simOps                                       14277715                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   289393                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     367652                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          8495578                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        12398531                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      236                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       12382118                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    354                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                47974                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             67000                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  91                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             8472578                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.461435                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.616649                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6001100     70.83%     70.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    303155      3.58%     74.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    230361      2.72%     77.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    181310      2.14%     79.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    233639      2.76%     82.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    302594      3.57%     85.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    444188      5.24%     90.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    248191      2.93%     93.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    528040      6.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               8472578                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     113      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.01% # attempts to use FU when none available (Count)
