
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000086                       # Number of seconds simulated (Second)
simTicks                                     86216500                       # Number of ticks simulated (Tick)
finalTick                                  1081488500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.83                       # Real time elapsed on the host (Second)
hostTickRate                                103573210                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     679876                       # Number of bytes of host memory used (Byte)
simInsts                                      1920883                       # Number of instructions simulated (Count)
simOps                                        2198589                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                  2307221                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                    2640732                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           172433                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          278746                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         278066                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      8                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 6964                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              4156                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples              168079                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.654377                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.621570                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    107780     64.12%     64.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      7863      4.68%     68.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      7210      4.29%     73.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      6231      3.71%     76.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      7206      4.29%     81.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      7805      4.64%     85.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      8225      4.89%     90.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      6181      3.68%     94.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      9578      5.70%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                168079                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     883     27.80%     27.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     27.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     27.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     27.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     27.80% # attempts to use FU when none available (Count)
